Model,Year,Status,Mileage,Price,MSRP
2023 Acura TLX Type S,2023,New,Not available,$57.55_),Not specified
2022 Acura TLX A-Spec,2022,New,Not available,$48.95_),Not specified
2023 Acura RDX A-Spec Advance Package,2023,New,Not available,$54.15_),MSRP $54.150
2022 Acura TLX Advance,2022,New,Not available,$51.49_),Not specified
2023 Acura Integra Base,2023,New,Not available,$32.40_),Not specified
2023 Acura TLX Type S w/Performance Tire,2023,New,Not available,$57.74_),MSRP $57.745
2023 Acura TLX Technology,2023,New,Not available,$45.65_),Not specified
2022 Acura TLX A-Spec,2022,New,Not available,$49.45_),Not specified
2022 Acura TLX w/A-Spec Package,2022,New,Not available,$46.74_),MSRP $46.745
2023 Acura TLX Type S,2023,New,Not available,$56.95_),MSRP $58.291
2023 Acura MDX Technology,2023,New,Not available,$58.15_),Not specified
2023 Acura MDX A-Spec,2023,New,Not available,$61.65_),MSRP $61.645
2023 Acura RDX A-Spec,2023,New,Not available,$48.70_),Not specified
2023 Acura RDX A-Spec Advance,2023,New,Not available,$55.34_),Not specified
2023 Acura RDX A-Spec Advance,2023,New,Not available,$55.05_),Not specified
2023 Acura MDX Advance,2023,New,Not available,$65.89_),Not specified
2022 Acura RDX Technology Package,2022,New,Not available,$46.65_),MSRP $46.645
2022 Acura TLX A-Spec,2022,New,Not available,$49.45_),Not specified
2023 Acura RDX Technology Package,2023,New,Not available,$45.20_),Not specified
2022 Acura TLX w/Advance Package,2022,New,Not available,$51.49_),MSRP $51.495
2023 Acura MDX Technology,2023,New,Not available,$58.15_),MSRP $58.145
2023 Acura RDX Base,2023,New,Not available,$45.55_),Not specified
2023 Acura RDX A-Spec,2023,New,Not available,$50.90_),MSRP $50.895
2022 Acura RDX Technology Package,2022,New,Not available,$44.95_),Not specified
2023 Acura TLX Type S,2023,New,Not available,$56.95_),Not specified
2023 Acura Integra w/A-Spec Tech Package,2023,New,Not available,$37.40_),MSRP $37.395
2022 Acura TLX Technology,2022,New,Not available,$46.20_),MSRP $46.195
2023 Acura MDX Advance,2023,New,Not available,$65.19_),Not specified
2023 Acura MDX Advance,2023,New,Not available,$65.89_),Not specified
2023 Acura MDX A-Spec,2023,New,Not available,$61.65_),MSRP $61.645
2023 Acura RDX A-Spec,2023,Used,13.0 mi.,$48.84_),Not specified
2023 Acura RDX A-Spec,2023,New,Not available,$48.40_),MSRP $48.395
2023 Acura Integra A-Spec Technology,2023,New,Not available,$37.40_),Not specified
2023 Acura RDX A-Spec,2023,New,Not available,$51.20_),Not specified
2023 Acura MDX Type S w/Advance Package,2023,New,Not available,$74.39_),MSRP $74.395
2023 Acura TLX Technology,2023,New,Not available,$44.74_),Not specified
2023 Acura RDX A-Spec Advance Package,2023,New,Not available,$55.24_),Not specified
2023 Acura TLX A-Spec,2023,New,Not available,$47.99_),Not specified
2023 Acura RDX Technology Package,2023,New,Not available,$48.20_),Not specified
2023 Acura RDX A-Spec Advance Package,2023,New,Not available,$55.34_),MSRP $55.345
2023 Acura TLX Base,2023,New,Not available,$41.65_),Not specified
2023 Acura RDX Advance Package,2023,New,Not available,$52.55_),Not specified
2022 Acura MDX Type S,2022,New,Not available,$68.25_),Not specified
2023 Acura TLX A-Spec,2023,New,Not available,$47.49_),MSRP $47.495
2022 Acura ILX Premium & A-SPEC Packages,2022,New,Not available,$32.84_),Not specified
2023 Acura RDX A-Spec,2023,New,Not available,$48.70_),MSRP $48.695
2023 Acura TLX A-Spec,2023,New,Not available,$49.70_),MSRP $49.695
2023 Acura TLX A-Spec,2023,New,Not available,$49.65_),MSRP $49.645
2023 Acura TLX Type S w/Performance Tire,2023,New,Not available,$57.74_),Not specified
2023 Acura MDX A-Spec,2023,New,Not available,$61.74_),Not specified
2023 Acura MDX Advance,2023,New,Not available,$66.06_),Not specified
2023 Acura RDX A-Spec,2023,New,Not available,$51.20_),MSRP $51.195
2023 Acura Integra A-Spec,2023,Used,570.0 mi.,$34.45_),Not specified
2023 Acura RDX A-Spec,2023,New,Not available,$48.70_),MSRP $47.500
2022 Acura MDX Technology,2022,New,Not available,$54.95_),MSRP $54.945
2023 Acura MDX Advance,2023,New,Not available,$65.46_),Not specified
2023 Acura RDX A-Spec Advance Package,2023,New,Not available,$55.34_),Not specified
2023 Acura RDX A-Spec,2023,New,Not available,$51.20_),Not specified
2022 Acura TLX A-Spec,2022,New,Not available,$49.45_),MSRP $49.445
2023 Acura TLX A-Spec,2023,New,Not available,$49.70_),MSRP $49.695
2023 Acura RDX Base,2023,New,Not available,$45.24_),MSRP $45.245
2023 Acura MDX Type S w/Advance Package,2023,New,Not available,$74.89_),Not specified
2023 Acura TLX A-Spec,2023,New,Not available,$50.49_),Not specified
2023 Acura MDX Base,2023,New,Not available,$53.45_),Not specified
2023 Acura Integra A-Spec Technology,2023,New,Not available,$37.40_),MSRP $37.395
2023 Acura Integra w/A-Spec Tech Package,2023,New,Not available,$38.09_),Not specified
2023 Acura TLX Technology,2023,New,Not available,$45.24_),MSRP $45.245
2022 Acura MDX Type S,2022,New,Not available,$73.59_),Not specified
2023 Acura Integra A-Spec,2023,New,Not available,$34.40_),MSRP $34.395
2023 Acura MDX A-Spec,2023,New,Not available,$61.74_),MSRP $61.745
2023 Acura TLX A-Spec,2023,New,Not available,$50.20_),MSRP $50.195
2023 Acura TLX A-Spec,2023,New,Not available,$50.15_),MSRP $50.145
2023 Acura Integra A-Spec,2023,New,Not available,$34.40_),Not specified
2023 Acura TLX Base,2023,New,Not available,$40.74_),MSRP $40.745
2023 Acura TLX A-Spec,2023,New,Not available,$47.99_),Not specified
2022 Acura RDX A-Spec,2022,New,Not available,$49.65_),Not specified
2023 Acura RDX A-Spec,2023,New,Not available,$50.40_),MSRP $50.395
2023 Acura Integra w/A-Spec Tech Package,2023,New,Not available,$37.90_),Not specified
2023 Acura MDX A-Spec,2023,New,Not available,$61.65_),Not specified
2023 Acura MDX Type S,2023,New,Not available,$69.05_),MSRP $69.045
2023 Acura MDX A-Spec,2023,New,Not available,$61.15_),Not specified
2023 Acura TLX Type S w/Performance Tire,2023,New,Not available,$57.55_),MSRP $57.545
2023 Acura MDX Type S w/Advance Package,2023,New,Not available,$75.59_),Not specified
2023 Acura TLX A-Spec,2023,New,Not available,$47.99_),MSRP $47.995
2022 Acura TLX Technology,2022,New,Not available,$44.49_),MSRP $44.495
2022 Acura MDX Technology,2022,New,Not available,$55.45_),MSRP $55.445
2023 Acura Integra A-Spec Technology,2023,New,Not available,$37.40_),Not specified
2023 Acura MDX Advance,2023,New,Not available,$65.19_),Not specified
2022 Acura TLX A-Spec,2022,New,Not available,$49.45_),Not specified
2023 Acura MDX Base,2023,New,Not available,$52.45_),Not specified
2022 Acura TLX Technology,2022,New,Not available,$44.49_),Not specified
2023 Acura TLX A-Spec,2023,New,Not available,$50.20_),Not specified
2023 Acura TLX Type S w/Performance Tire,2023,New,Not available,$57.74_),MSRP $57.745
2022 Acura MDX Technology,2022,New,Not available,$55.45_),MSRP $55.445
2023 Acura RDX Technology Package,2023,New,Not available,$47.90_),MSRP $47.895
2023 Acura RDX A-Spec,2023,New,Not available,$48.70_),MSRP $48.695
2023 Acura TLX Type S,2023,New,Not available,$57.74_),Not specified
2023 Acura TLX A-Spec,2023,New,Not available,$47.99_),MSRP $47.995
2023 Acura TLX Type S,2023,New,Not available,$57.74_),Not specified
2019 Acura TLX V6 w/Technology Package,2019,Used,41.180 mi.,$27_),Not specified
2023 Acura RDX A-Spec Advance Package,2023,New,Not available,$55.05_),MSRP $55.045
2023 Acura TLX A-Spec,2023,New,Not available,$49.70_),MSRP $49.695
2022 Acura RDX A-Spec,2022,New,Not available,$50.15_),Not specified
2023 Acura RDX A-Spec,2023,New,Not available,$48.70_),MSRP $48.695
2022 Acura RDX A-Spec Advance,2022,New,Not available,$53.80_),Not specified
2023 Acura TLX w/A-Spec Package,2023,New,Not available,$50.59_),MSRP $50.595
2023 Acura TLX A-Spec,2023,New,Not available,$47.99_),MSRP $47.995
2023 Acura Integra w/A-Spec Tech Package,2023,New,Not available,$37.40_),MSRP $37.395
2023 Acura TLX A-Spec,2023,New,Not available,$47.99_),MSRP $47.995
2023 Acura Integra A-Spec Technology,2023,New,Not available,$37.40_),MSRP $38.095
2023 Acura RDX A-Spec Advance Package,2023,New,Not available,$54.55_),MSRP $54.545
2023 Acura MDX Technology,2023,New,Not available,$58.15_),Not specified
2023 Acura TLX A-Spec,2023,New,Not available,$48.40_),Not specified
2023 Acura TLX Type S,2023,New,Not available,$57.74_),Not specified
2022 Acura TLX A-Spec,2022,New,Not available,$49.45_),MSRP $49.445
2023 Acura TLX Type S,2023,New,Not available,$57.74_),Not specified
2022 Acura TLX A-Spec,2022,New,Not available,$49.45_),MSRP $49.445
2023 Acura TLX A-Spec,2023,New,Not available,$50.59_),Not specified
2022 Acura TLX A-Spec,2022,New,Not available,$49.45_),Not specified
2023 Acura TLX A-Spec,2023,New,Not available,$50.20_),Not specified
2023 Acura TLX Technology,2023,New,Not available,$45.24_),Not specified
2023 Acura Integra w/A-Spec Package,2023,New,Not available,$34.40_),Not specified
2023 Acura Integra A-Spec Technology,2023,New,Not available,$37.40_),MSRP $37.395
2023 Acura TLX Technology,2023,New,Not available,$45.24_),Not specified
2023 Acura Integra w/A-Spec Tech Package,2023,New,Not available,$37.40_),MSRP $37.395
2023 Acura TLX A-Spec,2023,New,Not available,$47.99_),Not specified
2023 Acura TLX A-Spec,2023,New,Not available,$49.70_),Not specified
2023 Acura MDX Technology,2023,New,Not available,$58.15_),Not specified
2023 Acura TLX Type S w/Performance Tire,2023,New,Not available,$57.74_),MSRP $57.745
2022 Acura TLX Base,2022,New,Not available,$39.99_),MSRP $39.995
2022 Acura TLX A-Spec,2022,New,Not available,$47.24_),Not specified
2022 Acura TLX A-Spec,2022,New,Not available,$46.74_),Not specified
2022 Acura TLX Type S w/Performance Tire,2022,New,Not available,$55.59_),Not specified
2023 Acura TLX A-Spec,2023,New,Not available,$50.59_),Not specified
2023 Acura TLX A-Spec,2023,New,Not available,$50.59_),Not specified
2022 Acura TLX A-Spec,2022,New,Not available,$47.24_),MSRP $47.245
2023 Acura TLX Advance,2023,New,Not available,$52.45_),Not specified
2023 Acura Integra A-Spec Technology,2023,New,Not available,$36.30_),Not specified
2022 Acura TLX A-Spec,2022,New,Not available,$49.45_),Not specified
2023 Acura RDX A-Spec,2023,Used,1.1780 mi.,$46.98_),Not specified
2023 Acura Integra A-Spec Technology,2023,New,Not available,$36.40_),MSRP $37.395
2023 Acura RDX Base,2023,New,Not available,$42.55_),MSRP $42.545
2023 Acura RDX Technology Package,2023,New,Not available,$47.59_),Not specified
2023 Acura TLX A-Spec,2023,New,Not available,$50.20_),MSRP $50.195
2023 Acura TLX A-Spec,2023,New,Not available,$49.99_),Not specified
2023 Acura RDX A-Spec,2023,New,Not available,$50.90_),Not specified
2023 Acura TLX A-Spec,2023,New,Not available,$47.80_),MSRP $47.795
2022 Acura TLX Technology,2022,New,Not available,$44.49_),Not specified
2023 Acura RDX A-Spec,2023,New,Not available,$50.90_),MSRP $50.895
2023 Acura MDX Advance,2023,New,Not available,$64.69_),Not specified
2023 Acura MDX Type S,2023,New,Not available,$69.05_),MSRP $69.045
2023 Acura TLX A-Spec,2023,New,Not available,$50.20_),Not specified
2023 Acura TLX Type S,2023,New,Not available,$56.45_),Not specified
2023 Acura TLX Type S,2023,New,Not available,$57.74_),MSRP $56.650
2022 Acura RDX A-Spec,2022,New,Not available,$50.15_),MSRP $50.145
2023 Acura Integra w/A-Spec Tech Package,2023,New,Not available,$37.40_),Not specified
2023 Acura RDX A-Spec,2023,New,Not available,$50.90_),MSRP $49.700
2023 Acura TLX A-Spec,2023,New,Not available,$50.20_),Not specified
2022 Acura RDX A-Spec,2022,New,Not available,$47.95_),MSRP $47.945
2022 Acura MDX Technology,2022,New,Not available,$56.59_),MSRP $56.595
2023 Acura TLX Technology,2023,New,Not available,$45.24_),MSRP $45.245
2023 Acura TLX Type S w/Performance Tire,2023,New,Not available,$57.74_),MSRP $57.745
2022 Acura TLX A-Spec,2022,New,Not available,$46.74_),MSRP $46.745
2023 Acura TLX Technology,2023,New,Not available,$45.24_),MSRP $45.245
2023 Acura Integra A-Spec Technology,2023,New,Not available,$37.40_),MSRP $37.395
2022 Acura RDX Technology Package,2022,New,Not available,$47.15_),Not specified
2023 Acura Integra w/A-Spec Tech Package,2023,New,Not available,$37.40_),Not specified
2023 Acura Integra w/A-Spec Package,2023,New,Not available,$34.40_),MSRP $35.741
2023 Acura MDX Technology,2023,New,Not available,$58.15_),Not specified
2023 Acura Integra A-Spec,2023,New,Not available,$34.40_),Not specified
2023 Acura RDX A-Spec Advance,2023,New,Not available,$55.34_),MSRP $55.345
2023 Acura MDX A-Spec,2023,New,Not available,$61.74_),MSRP $61.745
2023 Acura RDX A-Spec Advance,2023,New,Not available,$54.55_),MSRP $54.545
2023 Acura MDX Advance,2023,New,Not available,$65.19_),MSRP $65.195
2023 Acura Integra A-Spec Technology,2023,New,Not available,$36.40_),MSRP $36.395
2023 Acura Integra A-Spec,2023,Used,2.4420 mi.,$33_),Not specified
2022 Acura TLX w/A-Spec Package,2022,New,Not available,$49.45_),Not specified
2022 Acura MDX Type S w/Advance Package,2022,New,Not available,$72.05_),Not specified
2023 Acura TLX A-Spec,2023,New,Not available,$49.99_),Not specified
2023 Acura TLX w/A-Spec Package,2023,New,Not available,$50.59_),MSRP $50.595
2023 Acura TLX Technology,2023,New,Not available,$44.74_),Not specified
2016 Acura RDX Base,2016,Used,67.2220 mi.,$20.95_),$1.052 price drop
2022 Acura TLX A-Spec,2022,New,Not available,$49.45_),MSRP $49.445
2023 Acura MDX w/Advance Package,2023,New,Not available,$64.69_),MSRP $64.695
2023 Acura MDX Advance,2023,New,Not available,$65.19_),MSRP $65.195
2023 Acura TLX Type S w/Performance Tire,2023,New,Not available,$57.24_),MSRP $57.245
2023 Acura Integra w/A-Spec Tech Package,2023,New,Not available,$37.40_),MSRP $37.395
2023 Acura Integra Base,2023,New,Not available,$33.09_),Not specified
2023 Acura Integra Base,2023,New,Not available,$31.39_),MSRP $32.395
2023 Acura TLX Type S,2023,New,Not available,$57.74_),MSRP $57.745
2023 Acura Integra w/A-Spec Tech Package,2023,New,Not available,$37_),MSRP $37.395
2023 Acura Integra A-Spec Technology,2023,New,Not available,$37.09_),MSRP $38.095
2023 Acura Integra w/A-Spec Tech Package,2023,New,Not available,$36.40_),MSRP $37.395
2023 Acura MDX Technology,2023,New,Not available,$56.64_),Not specified
2023 Acura TLX Technology,2023,New,Not available,$45.24_),MSRP $45.245
2023 Acura Integra A-Spec Technology,2023,New,Not available,$37.40_),MSRP $37.395
2022 Acura TLX A-Spec,2022,New,Not available,$47.24_),MSRP $47.245
2023 Acura TLX Technology,2023,New,Not available,$46.44_),MSRP $45.245
2023 Acura RDX Base,2023,New,Not available,$50.90_),MSRP $50.895
2022 Acura RDX A-Spec,2022,New,Not available,$47.30_),MSRP $47.295
2023 Acura Integra w/A-Spec Tech Package,2023,New,Not available,$36.90_),MSRP $36.895
2023 Acura RDX Technology Package,2023,Used,790.0 mi.,$44.99_),Not specified
2022 Acura RDX Technology Package,2022,New,Not available,$47.15_),MSRP $47.145
2022 Acura MDX Type S,2022,New,Not available,$66.70_),Not specified
2022 Acura TLX Base,2022,Acura Certified,9.3560 mi.,$38.50_),Not specified
2019 Acura NSX Base,2019,Used,19.0840 mi.,$145_),Not specified
2020 Acura ILX A-SPEC,2020,Used,33.880 mi.,$28.98_),Not specified
2008 Acura TL 3.2,2008,Used,11.5820 mi.,$13.99_),Not specified
2014 Acura RDX Base,2014,Used,43.1850 mi.,$19.50_),Not specified
2021 Acura RDX Technology Package,2021,Acura Certified,15.4910 mi.,$40_),$995 price drop
2015 Acura TLX V6 Advance,2015,Used,54.90 mi.,$24.97_),Not specified
2020 Acura ILX Premium Package,2020,Used,33.8080 mi.,$27.98_),Not specified
2019 Acura ILX Premium Package,2019,Used,51.1630 mi.,$23.21_),$746 price drop
2018 Acura MDX 3.5L w/Advance Package,2018,Used,88.360 mi.,$25_),$2.068 price drop
2020 Acura MDX 3.5L Technology & A-Spec Pkgs,2020,Used,6.9260 mi.,$46.79_),Not specified
2019 Acura MDX Sport Hybrid 3.0L w/Technology Package,2019,Used,42.3240 mi.,$38.84_),Not specified
2015 Acura MDX 3.5L Advance Pkg w/Entertainment Pkg,2015,Used,106.9170 mi.,$22_),Not specified
2021 Acura RDX A-Spec,2021,Used,40.5120 mi.,$39.23_),$499 price drop
2015 Acura RLX Technology Package,2015,Used,30.3670 mi.,$23.99_),$344 price drop
2019 Acura ILX Premium Package,2019,Used,30.9470 mi.,$24.99_),Not specified
2020 Acura TLX A-Spec,2020,Used,16.8770 mi.,$29.71_),$2.275 price drop
2019 Acura MDX 3.5L w/Technology Package,2019,Used,27.3950 mi.,$37_),Not specified
2023 Acura MDX Technology,2023,Acura Certified,865.0 mi.,$55.99_),Not specified
2014 Acura RDX Base,2014,Used,25.1890 mi.,$21.75_),Not specified
2017 Acura MDX 3.5L w/Technology Package,2017,Used,101.5910 mi.,$24_),Not specified
2017 Acura NSX Base,2017,Used,10.190 mi.,$135.59_),$4.600 price drop
2016 Acura MDX 3.5L,2016,Used,58.8050 mi.,$23.99_),Not specified
2020 Acura MDX Sport Hybrid 3.0L w/Advance Package,2020,Used,33.330 mi.,$43_),Not specified
2022 Acura MDX Type S,2022,Used,14.1840 mi.,$59.96_),Not specified
2011 Acura TL 3.7,2011,Used,113.6730 mi.,$12.99_),Not specified
2019 Acura MDX Sport Hybrid 3.0L w/Technology Package,2019,Acura Certified,37.9150 mi.,$37_),$501 price drop
2016 Acura MDX ,2016,Used,77.2840 mi.,$26.50_),Not specified
2016 Acura RDX Technology Package,2016,Used,37.840 mi.,$23.09_),$309 price drop
2013 Acura ILX Hybrid 1.5L,2013,Used,41.3210 mi.,$18_),Not specified
2012 Acura TSX 2.4,2012,Used,85.4750 mi.,$13.70_),$295 price drop
2020 Acura TLX A-Spec,2020,Used,22.7520 mi.,$37.77_),Not specified
2017 Acura TLX w/Technology Package,2017,Used,41.9830 mi.,$25_),$900 price drop
2018 Acura RDX Base (A6),2018,Acura Certified,55.9490 mi.,$25.89_),Not specified
2017 Acura MDX 3.5L,2017,Used,51.7580 mi.,$29.64_),Not specified
2021 Acura NSX Base,2021,Used,655.0 mi.,$164.80_),Not specified
2023 Acura Integra A-Spec Technology,2023,New,Not available,$37.40_),Not specified
2023 Acura MDX Type S w/Advance,2023,New,Not available,$74.39_),MSRP $74.395
2023 Acura MDX A-Spec,2023,New,Not available,$61.65_),Not specified
2023 Acura RDX Base,2023,New,Not available,$44.95_),MSRP $44.945
2022 Acura MDX Type S,2022,New,Not available,$68.25_),Not specified
2023 Acura MDX Type S w/Advance,2023,New,Not available,$74.89_),MSRP $74.895
2022 Acura RDX Advance Package,2022,New,Not available,$52.30_),Not specified
2018 Acura ILX Base,2018,Used,73.6150 mi.,$18.98_),Not specified
2023 Acura MDX Type S w/Advance Package,2023,Used,1.2720 mi.,$70.69_),$1.766 price drop
2023 Acura TLX Advance,2023,New,Not available,$52.45_),MSRP $52.445
2020 Acura RDX A-Spec,2020,Used,35.2760 mi.,$39_),$1.292 price drop
2023 Acura MDX Type S w/Advance Package,2023,New,Not available,$74.89_),MSRP $74.895
2023 Acura TLX Technology,2023,New,Not available,$45.24_),MSRP $45.245
2023 Acura TLX Type S,2023,New,Not available,$57.74_),MSRP $57.745
2018 Acura RLX Technology Package,2018,Used,34.0360 mi.,$32.99_),Not specified
2023 Acura RDX Technology Package,2023,New,Not available,$45.99_),MSRP $45.995
2023 Acura MDX Technology,2023,New,Not available,$58.15_),MSRP $58.145
2023 Acura TLX Technology,2023,New,Not available,$45.24_),MSRP $45.245
2006 Acura RSX Type S,2006,Used,30.7930 mi.,$39.99_),Not specified
2023 Acura RDX A-Spec,2023,New,Not available,$50.90_),MSRP $50.895
2023 Acura MDX Type S,2023,New,Not available,$67.85_),Not specified
2023 Acura TLX A-Spec,2023,New,Not available,$50.59_),MSRP $50.595
2023 Acura MDX Technology,2023,New,Not available,$55.45_),MSRP $55.445
2023 Acura Integra A-Spec Technology,2023,New,Not available,$37.40_),MSRP $37.395
2022 Acura RDX Technology Package,2022,New,Not available,$47.15_),MSRP $47.145
2023 Acura TLX A-Spec,2023,New,Not available,$51.29_),Not specified
2023 Acura Integra A-Spec,2023,Used,2.1280 mi.,$32.99_),$565 price drop
2015 Acura MDX 3.5L Technology Package,2015,Used,92.7950 mi.,$22_),Not specified
2008 Acura TL 3.2 w/Navigation,2008,Used,83.2120 mi.,$9.48_),Not specified
2022 Acura ILX Premium & A-SPEC Packages,2022,Acura Certified,5.2750 mi.,$30.80_),$200 price drop
2019 Acura TLX V6 Technology & A-Spec,2019,Used,45.4950 mi.,$30_),$1.000 price drop
2023 Acura Integra w/A-Spec Tech Package,2023,New,Not available,$37.40_),MSRP $37.395
2023 Acura RDX A-Spec,2023,New,Not available,$51.20_),Not specified
2022 Acura NSX Type S,2022,New,Not available,$188.49_),Not specified
2023 Acura TLX Base,2023,New,Not available,$41.24_),MSRP $41.245
2016 Acura TLX FWD,2016,Used,52.270 mi.,$20_),Not specified
2023 Acura TLX A-Spec,2023,New,Not available,$49.99_),Not specified
2023 Acura MDX w/A-Spec Package,2023,New,Not available,$61.65_),MSRP $61.645
2023 Acura MDX A-Spec,2023,New,Not available,$61.15_),MSRP $61.145
2023 Acura TLX Type S,2023,New,Not available,$57.74_),Not specified
2022 Acura ILX Premium Package,2022,Used,7.1010 mi.,$30_),$122 price drop
2023 Acura RDX A-Spec,2023,New,Not available,$47.95_),MSRP $48.695
2021 Acura TLX Technology,2021,Used,6.2340 mi.,$30_),Not specified
2023 Acura TLX Type S,2023,New,Not available,$57.74_),Not specified
2023 Acura MDX Advance,2023,New,Not available,$65.19_),Not specified
2020 Acura TLX V6 Advance,2020,Used,13.4930 mi.,$36.91_),$713 price drop
2023 Acura RDX A-Spec Advance Package,2023,New,Not available,$55.05_),MSRP $55.045
2023 Acura TLX A-Spec,2023,New,Not available,$47.99_),Not specified
2022 Acura TLX A-Spec,2022,New,Not available,$50.16_),Not specified
2023 Acura MDX Type S,2023,New,Not available,$68.55_),MSRP $68.545
2023 Acura MDX A-Spec,2023,New,Not available,$61.65_),Not specified
2021 Acura ILX Premium & A-SPEC Packages,2021,Used,28.1750 mi.,$27.90_),Not specified
2022 Acura ILX Premium & A-SPEC Packages,2022,Used,19.8090 mi.,$28.98_),$1.000 price drop
2023 Acura Integra A-Spec,2023,Used,1.6680 mi.,$32.89_),$711 price drop
2017 Acura MDX 3.5L,2017,Used,67.0060 mi.,$30_),Not specified
2022 Acura ILX Premium & A-SPEC Packages,2022,Used,5.1560 mi.,$30.12_),$1.371 price drop
2023 Acura Integra A-Spec Technology,2023,New,Not available,$37.40_),Not specified
2023 Acura RDX A-Spec Advance,2023,New,Not available,$55.05_),MSRP $55.045
2023 Acura TLX Type S w/Performance Tire,2023,New,Not available,$57.74_),MSRP $57.745
2023 Acura TLX Type S,2023,New,Not available,$58.15_),MSRP $58.145
2023 Acura MDX Technology,2023,New,Not available,$55.95_),MSRP $55.945
2023 Acura MDX A-Spec,2023,New,Not available,$61.15_),Not specified
2023 Acura MDX Type S,2023,New,Not available,$69.05_),Not specified
2023 Acura RDX A-Spec,2023,New,Not available,$50.90_),Not specified
2017 Acura MDX 3.5L w/Advance Package,2017,Used,116.0540 mi.,$24.41_),Not specified
2015 Acura MDX 3.5L w/Technology & Entertainment Pkgs,2015,Used,97.1590 mi.,$21.88_),Not specified
2023 Acura Integra A-Spec Technology,2023,New,Not available,$36.90_),Not specified
2022 Acura TLX w/A-Spec Package,2022,New,Not available,$49.45_),Not specified
2022 Acura MDX Technology,2022,New,Not available,$56.59_),Not specified
2023 Acura TLX A-Spec,2023,New,Not available,$48.40_),Not specified
2018 Acura RDX w/AcuraWatch Plus,2018,Used,81.7570 mi.,$22.98_),Not specified
2022 Acura TLX Type S,2022,New,Not available,$55_),Not specified
2021 Acura RDX Base,2021,Used,19.1770 mi.,$35.78_),Not specified
2014 Acura TSX 2.4,2014,Used,90.5970 mi.,$15.89_),Not specified
2023 Acura TLX A-Spec,2023,New,Not available,$47.99_),MSRP $47.995
2023 Acura RDX A-Spec,2023,New,Not available,$50.90_),MSRP $50.895
2023 Acura TLX A-Spec,2023,New,Not available,$50.59_),Not specified
2023 Acura TLX A-Spec,2023,New,Not available,$47.99_),Not specified
2023 Acura TLX A-Spec,2023,New,Not available,$49.99_),MSRP $49.995
2023 Acura TLX A-Spec,2023,New,Not available,$50.20_),MSRP $50.195
2023 Acura MDX Type S w/Advance,2023,New,Not available,$74.89_),MSRP $74.895
2023 Acura Integra Base,2023,New,Not available,$33.09_),Not specified
2017 Acura RDX AcuraWatch Plus Package,2017,Used,97.6450 mi.,$18.95_),Not specified
2023 Acura MDX Advance,2023,New,Not available,$65.19_),MSRP $65.195
2023 Acura Integra w/A-Spec Tech Package,2023,New,Not available,$38.09_),Not specified
2023 Acura MDX Technology,2023,New,Not available,$58.15_),Not specified
2023 Acura MDX Technology,2023,New,Not available,$57.65_),MSRP $57.645
2019 Acura MDX 3.5L,2019,Used,52.9830 mi.,$31.50_),Not specified
2023 Acura Integra w/A-Spec Tech Package,2023,New,Not available,$38.09_),Not specified
